timestamp_utc,series,value
2026-09-25T12:04:15+00:00,"series",1
2026-09-25T12:04:30+00:00,"series",1
2026-09-25T12:04:45+00:00,"series",1
2026-09-25T12:05:00+00:00,"series",1
2026-09-25T12:05:15+00:00,"series",1
2026-09-25T12:05:30+00:00,"series",1
2026-09-25T12:05:45+00:00,"series",1
2026-09-25T12:06:00+00:00,"series",1
2026-09-25T12:06:15+00:00,"series",1
2026-09-25T12:06:30+00:00,"series",1
2026-09-25T12:06:45+00:00,"series",1
2026-09-25T12:07:00+00:00,"series",1
2026-09-25T12:07:15+00:00,"series",1
2026-09-25T12:07:30+00:00,"series",1
2026-09-25T12:07:45+00:00,"series",1
2026-09-25T12:08:00+00:00,"series",1
2026-09-25T12:08:15+00:00,"series",1
2026-09-25T12:08:30+00:00,"series",1
2026-09-25T12:08:45+00:00,"series",1
2026-09-25T12:09:00+00:00,"series",1
2026-09-25T12:09:15+00:00,"series",1
2026-09-25T12:09:30+00:00,"series",1
2026-09-25T12:09:45+00:00,"series",1
2026-09-25T12:10:00+00:00,"series",1
2026-09-25T12:10:15+00:00,"series",1
2026-09-25T12:10:30+00:00,"series",1
2026-09-25T12:10:45+00:00,"series",1
2026-09-25T12:11:00+00:00,"series",1
2026-09-25T12:11:15+00:00,"series",1
2026-09-25T12:11:30+00:00,"series",1
2026-09-25T12:11:45+00:00,"series",1
2026-09-25T12:12:00+00:00,"series",1
2026-09-25T12:12:15+00:00,"series",1
2026-09-25T12:12:30+00:00,"series",1
2026-09-25T12:12:45+00:00,"series",1
2026-09-25T12:13:00+00:00,"series",1
2026-09-25T12:13:15+00:00,"series",1
2026-09-25T12:13:30+00:00,"series",1
2026-09-25T12:13:45+00:00,"series",1
2026-09-25T12:14:00+00:00,"series",1
2026-09-25T12:14:15+00:00,"series",1
2026-09-25T12:14:30+00:00,"series",1
2026-09-25T12:14:45+00:00,"series",1
2026-09-25T12:15:00+00:00,"series",1
2026-09-25T12:15:15+00:00,"series",1
2026-09-25T12:15:30+00:00,"series",1
2026-09-25T12:15:45+00:00,"series",1
2026-09-25T12:16:00+00:00,"series",1
2026-09-25T12:16:15+00:00,"series",1
2026-09-25T12:16:30+00:00,"series",1
2026-09-25T12:16:45+00:00,"series",1
2026-09-25T12:17:00+00:00,"series",1
2026-09-25T12:17:15+00:00,"series",1
2026-09-25T12:17:30+00:00,"series",1
2026-09-25T12:17:45+00:00,"series",1
2026-09-25T12:18:00+00:00,"series",1
2026-09-25T12:18:15+00:00,"series",1
2026-09-25T12:18:30+00:00,"series",1
2026-09-25T12:18:45+00:00,"series",1
2026-09-25T12:19:00+00:00,"series",1
2026-09-25T12:19:15+00:00,"series",1
2026-09-25T12:19:30+00:00,"series",1
2026-09-25T12:19:45+00:00,"series",1
2026-09-25T12:20:00+00:00,"series",1
2026-09-25T12:20:15+00:00,"series",1
2026-09-25T12:20:30+00:00,"series",1
2026-09-25T12:20:45+00:00,"series",1
2026-09-25T12:21:00+00:00,"series",1
2026-09-25T12:21:15+00:00,"series",1
2026-09-25T12:21:30+00:00,"series",1
2026-09-25T12:21:45+00:00,"series",2
2026-09-25T12:22:00+00:00,"series",2
2026-09-25T12:22:15+00:00,"series",2
2026-09-25T12:22:30+00:00,"series",2
2026-09-25T12:22:45+00:00,"series",2
2026-09-25T12:23:00+00:00,"series",2
2026-09-25T12:23:15+00:00,"series",2
2026-09-25T12:23:30+00:00,"series",2
2026-09-25T12:23:45+00:00,"series",2
2026-09-25T12:24:00+00:00,"series",2
2026-09-25T12:24:15+00:00,"series",2
2026-09-25T12:24:30+00:00,"series",2
2026-09-25T12:24:45+00:00,"series",2
2026-09-25T12:25:00+00:00,"series",2
2026-09-25T12:25:15+00:00,"series",2
2026-09-25T12:25:30+00:00,"series",2
2026-09-25T12:25:45+00:00,"series",2
2026-09-25T12:26:00+00:00,"series",2
2026-09-25T12:26:15+00:00,"series",2
2026-09-25T12:26:30+00:00,"series",2
2026-09-25T12:26:45+00:00,"series",2
2026-09-25T12:27:00+00:00,"series",2
2026-09-25T12:27:15+00:00,"series",2
2026-09-25T12:27:30+00:00,"series",2
